"id1","id2","id3","id4","id5","id6","id7","id8","Segment","Total Words Analyzed","Total Characters Analyzed","Average Word Size","Unique Words","Numerical Terms","Ambivalence","Self-reference","Tenacity","Leveling Terms","Collectives","Praise","Satisfaction","Inspiration","Blame","Hardship","Aggression","Accomplishment","Communication","Cognition","Passivity","Spatial Terms","Familiarity","Temporal Terms","Present Concern","Human Interest","Concreteness","Past Concern","Centrality","Rapport","Cooperation","Diversity","Exclusion","Liberation","Denial","Motion","Insistence","Embellishment","Variety","Complexity","Activity","Optimism","Certainty","Realism","Commonality","Char 1","Char 2","Char 3","Char 4","Char 5","User Dic 1","User Dic 2","User Dic 3","User Dic 4","User Dic 5","User Dic 6","User Dic 7","User Dic 8","User Dic 9","User Dic 10","Folder","File","Original File","Report","Stakeholder","Short Option","Long Option","Norm","Word Characters Analyzed"
"0","0","0","0","0","0","0","0","-","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","49.61","49.66","57.08","46.94","49.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","blm_lyr",".txt.dfxml","C:\Users\MYPC\Downloads\blm_lyr\.txt","Report","default","Extrapolate","Averaged","All Cases","0"
"0","0","0","0","0","0","0","0","-","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","49.61","49.66","57.08","46.94","49.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","blm_lyr","100000mph.txt.dfxml","C:\Users\MYPC\Downloads\blm_lyr\100000mph.txt","Report","default","Extrapolate","Averaged","All Cases","0"
"0","0","0","0","0","0","0","0","-","572","3079","4.08","267","8.94","29.61","28.39","26.62","13.42","5.97","5.47","3.00","0.50","0.00","6.47","5.99","0.50","6.50","3.92","0.00","2.50","115.53","24.36","11.25","12.97","11.60","5.97","0.00","0.00","0.00","0.00","0.00","0.00","11.94","1.50","27.53","0.38","0.58","3.90","51.54","47.96","41.71","48.04","49.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","blm_lyr","1000deaths.txt.dfxml","C:\Users\MYPC\Downloads\blm_lyr\1000deaths.txt","Report","default","Extrapolate","Averaged","All Cases","2336"
"0","0","0","0","0","0","0","0","-","311","1800","4.31","117","22.51","13.67","56.27","43.41","4.82","6.43","8.04","20.90","1.61","3.21","8.04","1.61","6.92","4.82","1.48","5.37","3.21","75.56","8.04","28.94","27.33","5.67","1.61","3.21","1.61","0.00","0.00","1.61","4.82","4.82","0.00","216.88","0.39","0.38","4.31","48.84","55.24","47.57","47.35","48.41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","blm_lyr","1000doves.txt.dfxml","C:\Users\MYPC\Downloads\blm_lyr\1000doves.txt","Report","default","Extrapolate","Averaged","All Cases","1341"
"0","0","0","0","0","0","0","0","-","377","2071","4.14","107","27.85","8.62","45.09","27.85","6.63","3.98","17.50","7.96","0.00","13.26","23.87","2.65","0.38","3.98","3.98","1.95","1.33","82.23","18.57","17.24","33.16","7.96","14.59","0.00","0.00","3.98","0.00","2.65","0.00","27.85","3.98","102.65","0.97","0.28","4.14","49.56","38.81","47.19","43.00","48.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","blm_lyr","100baddays.txt.dfxml","C:\Users\MYPC\Downloads\blm_lyr\100baddays.txt","Report","default","Extrapolate","Averaged","All Cases","1559"
"0","0","0","0","0","0","0","0","-","879","4707","4.05","452","15.39","14.92","28.15","36.83","3.48","3.51","5.58","7.44","0.00","3.80","7.28","2.16","2.32","4.82","3.48","6.64","10.10","112.07","17.89","18.10","19.74","17.62","4.30","2.00","0.00","0.00","1.00","2.16","0.00","11.78","4.48","19.80","0.46","0.52","4.04","49.63","47.48","42.74","50.58","48.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","blm_lyr","100milesandrunnin.txt.dfxml","C:\Users\MYPC\Downloads\blm_lyr\100milesandrunnin.txt","Report","default","Extrapolate","Averaged","All Cases","3562"
"0","0","0","0","0","0","0","0","-","111","587","3.79","55","108.11","2.25","0.00","27.03","0.00","0.00","0.00","0.00","9.01","4.51","4.51","0.00","0.00","0.00","0.00","9.01","4.51","40.54","9.01","9.01","31.53","9.01","4.51","0.00","4.51","0.00","0.00","0.00","0.00","4.51","0.00","36.49","0.38","0.50","3.79","45.83","47.21","33.67","42.44","51.51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","blm_lyr","1312.txt.dfxml","C:\Users\MYPC\Downloads\blm_lyr\1312.txt","Report","default","Extrapolate","Averaged","All Cases","421"
"0","0","0","0","0","0","0","0","-","788","4607","4.47","388","59.91","11.21","6.87","12.84","3.74","6.30","2.00","1.50","1.50","0.50","2.00","10.34","4.39","2.37","2.50","9.19","6.69","97.56","13.05","11.40","30.61","23.92","4.50","0.50","0.50","0.00","0.87","1.87","0.00","5.37","4.24","205.87","0.18","0.50","4.59","51.03","49.03","41.71","46.64","48.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","blm_lyr","16shots.txt.dfxml","C:\Users\MYPC\Downloads\blm_lyr\16shots.txt","Report","default","Extrapolate","Averaged","All Cases","3522"
"0","0","0","0","0","0","0","0","-","322","1695","3.8","105","4.66","12.42","32.61","51.24","1.55","4.66","20.19","7.76","13.98","0.00","1.55","0.00","9.32","4.66","9.32","1.55","4.66","85.40","13.98","28.45","29.50","4.66","10.87","0.00","0.00","1.55","0.00","0.00","0.00","35.71","0.00","31.68","0.52","0.33","3.80","48.09","51.75","50.48","47.19","49.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","blm_lyr","1910.txt.dfxml","C:\Users\MYPC\Downloads\blm_lyr\1910.txt","Report","default","Extrapolate","Averaged","All Cases","1223"
"0","0","0","0","0","0","0","0","-","12704","75495","4.76","6396","58.09","7.91","0.00","25.10","6.44","10.43","1.06","0.41","3.38","1.64","4.93","6.45","12.81","7.71","9.53","3.90","10.53","125.12","15.20","2.95","6.25","46.90","2.34","3.53","1.64","1.36","3.12","3.94","0.50","3.37","0.16","98.57","0.59","0.49","4.74","49.70","48.08","44.41","48.72","47.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","blm_lyr","1964nyharlemyouthforum.txt.dfxml","C:\Users\MYPC\Downloads\blm_lyr\1964nyharlemyouthforum.txt","Report","default","Extrapolate","Averaged","All Cases","60411"
